ID_IPEDS,stabbr,highest_degree,degree_bach,public,enroll_ftug,grant_federal,year
130697,CT,9,1,0,748,804006.0,2010
130776,CT,9,1,1,975,1280141.0,2010
130794,CT,9,1,0,1343,1186794.0,2010
130873,DE,1,1,0,1188,3103706.0,2010
130907,DE,3,1,1,605,1144749.0,2010
130934,DE,9,1,1,887,2448725.0,2010
130943,DE,9,1,1,3719,2127934.0,2010
130989,DE,7,1,0,105,235801.0,2010
131061,DE,2,1,0,34,149157.0,2010
131098,DE,7,1,0,503,623505.0,2010
131113,DE,9,1,0,396,430542.0,2010
132268,FL,2,1,0,920,3002245.0,2010
132338,FL,5,1,0,285,1085269.0,2010
132374,FL,4,1,1,1381,1322295.0,2010
132408,FL,7,1,0,57,154254.0,2010
132471,FL,9,1,0,625,3274185.0,2010
132602,FL,7,1,0,925,3907692.0,2010
132657,FL,9,1,0,355,321271.0,2010
132675,FL,4,1,1,184,323311.0,2010
132693,FL,4,1,1,2055,4225431.0,2010
132709,FL,5,1,1,4054,14599529.0,2010
132842,FL,9,1,0,19,73421.0,2010
132851,FL,5,1,1,879,2528595.0,2010
132879,FL,5,1,0,52,120274.0,2010
132903,FL,9,1,1,6050,10238569.0,2010
132976,FL,4,1,1,335,624937.0,2010
133021,FL,5,1,1,407,1056979.0,2010
133155,FL,4,1,1,695,971130.0,2010
133386,FL,5,1,1,1887,5091117.0,2010
133465,FL,7,1,0,54,229350.0,2010
133492,FL,5,1,0,500,593215.0,2010
133508,FL,5,1,1,1794,5735050.0,2010
133526,FL,5,1,0,268,1204852.0,2010
133553,FL,9,1,0,951,1249761.0,2010
133650,FL,9,1,1,2702,10454300.0,2010
133669,FL,9,1,1,2628,6105534.0,2010
133702,FL,5,1,1,1866,4518326.0,2010
